company_id,type,rule_id,text,confidence_pct
AXISBANK,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
AXISBANK,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
AXISBANK,con,ROCE < 10%,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,70
BAJAJ-AUTO,pro,ROE > 20% sustained for 3+ years,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
BAJAJ-AUTO,pro,ICR > 10 or Debt Free,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
BAJAJ-AUTO,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
BAJAJ-AUTO,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
BAJAJ-AUTO,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
BAJAJ-AUTO,con,Revenue declining for 2+ years,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,78
BAJAJ-AUTO,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
BAJAJ-AUTO,con,Revenue CAGR < 5% over 5 years,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,66
BAJAJFINSV,pro,ROE > 20% sustained for 3+ years,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
BAJAJFINSV,pro,Revenue CAGR > 15% over 5 years,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84
BAJAJFINSV,pro,OPM > 25% in latest year,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
BAJAJFINSV,pro,PAT CAGR > 20% over 5 years,Net profit compounding at above 20% over 5 years creates significant shareholder value,80
BAJAJFINSV,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
BAJAJFINSV,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
BAJAJFINSV,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
BAJAJFINSV,con,ROCE < 10%,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,70
BAJAJHLDNG,pro,Revenue CAGR > 15% over 5 years,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84
BAJAJHLDNG,pro,OPM > 25% in latest year,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
BAJAJHLDNG,pro,ICR > 10 or Debt Free,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
BAJAJHLDNG,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
BAJAJHLDNG,pro,Revenue CAGR > PAT CAGR,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BAJAJHLDNG,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
BAJAJHLDNG,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
BAJAJHLDNG,con,Revenue declining for 2+ years,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,78
BAJAJHLDNG,con,ROCE < 10%,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,70
BAJFINANCE,pro,Revenue CAGR > 15% over 5 years,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84
BAJFINANCE,pro,OPM > 25% in latest year,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
BAJFINANCE,pro,PAT CAGR > 20% over 5 years,Net profit compounding at above 20% over 5 years creates significant shareholder value,80
BAJFINANCE,pro,ICR > 10 or Debt Free,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
BAJFINANCE,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
BAJFINANCE,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
BAJFINANCE,con,ROCE < 10%,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,70
BANKBARODA,pro,Revenue CAGR > 15% over 5 years,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84
BANKBARODA,pro,OPM > 25% in latest year,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
BANKBARODA,pro,PAT CAGR > 20% over 5 years,Net profit compounding at above 20% over 5 years creates significant shareholder value,80
BANKBARODA,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
BANKBARODA,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
BANKBARODA,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
BANKBARODA,con,Revenue declining for 2+ years,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,78
BANKBARODA,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
BANKBARODA,con,ROCE < 10%,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,70
BEL,pro,ROE > 20% sustained for 3+ years,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
BEL,pro,ICR > 10 or Debt Free,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
BEL,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
BEL,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
BEL,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
BEL,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
BHARTIARTL,pro,OPM > 25% in latest year,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
BHARTIARTL,pro,PAT CAGR > 20% over 5 years,Net profit compounding at above 20% over 5 years creates significant shareholder value,80
BHARTIARTL,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
BHARTIARTL,con,D/E > 2.0 for non-financial,Debt-to-equity ratio of X is elevated for a non-financial company and warrants monitoring,84
BHARTIARTL,con,Revenue declining for 2+ years,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,78
BHARTIARTL,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
BHEL,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
BHEL,pro,Revenue CAGR > PAT CAGR,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BHEL,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
BHEL,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
BHEL,con,Revenue declining for 2+ years,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,78
BHEL,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
BHEL,con,ROCE < 10%,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,70
BHEL,con,Revenue CAGR < 5% over 5 years,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,66
BOSCHLTD,pro,ICR > 10 or Debt Free,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
BOSCHLTD,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
BOSCHLTD,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
BOSCHLTD,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
BOSCHLTD,con,Revenue declining for 2+ years,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,78
BPCL,pro,ROE > 20% sustained for 3+ years,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
BPCL,pro,PAT CAGR > 20% over 5 years,Net profit compounding at above 20% over 5 years creates significant shareholder value,80
BPCL,pro,ICR > 10 or Debt Free,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
BPCL,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
BPCL,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
BPCL,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
BPCL,con,Revenue declining for 2+ years,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,78
BPCL,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
BRITANNIA,pro,ROE > 20% sustained for 3+ years,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
BRITANNIA,pro,ICR > 10 or Debt Free,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
BRITANNIA,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
BRITANNIA,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
BRITANNIA,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
CANBK,pro,Revenue CAGR > 15% over 5 years,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84
CANBK,pro,PAT CAGR > 20% over 5 years,Net profit compounding at above 20% over 5 years creates significant shareholder value,80
CANBK,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
CANBK,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
CANBK,con,Revenue declining for 2+ years,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,78
CANBK,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
CANBK,con,ROCE < 10%,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,70
CHOLAFIN,pro,Revenue CAGR > 15% over 5 years,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84
CHOLAFIN,pro,OPM > 25% in latest year,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
CHOLAFIN,pro,PAT CAGR > 20% over 5 years,Net profit compounding at above 20% over 5 years creates significant shareholder value,80
CHOLAFIN,pro,ICR > 10 or Debt Free,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
CHOLAFIN,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
CHOLAFIN,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
CHOLAFIN,con,ROCE < 10%,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,70
CIPLA,pro,OPM > 25% in latest year,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
CIPLA,pro,PAT CAGR > 20% over 5 years,Net profit compounding at above 20% over 5 years creates significant shareholder value,80
CIPLA,pro,ICR > 10 or Debt Free,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
CIPLA,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
CIPLA,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
CIPLA,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
COALINDIA,pro,ROE > 20% sustained for 3+ years,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
COALINDIA,pro,OPM > 25% in latest year,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
COALINDIA,pro,ICR > 10 or Debt Free,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
COALINDIA,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
COALINDIA,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
COALINDIA,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
COALINDIA,con,Revenue declining for 2+ years,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,78
COALINDIA,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
DABUR,pro,ICR > 10 or Debt Free,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
DABUR,pro,Revenue CAGR > PAT CAGR,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
DABUR,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
DABUR,con,Revenue declining for 2+ years,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,78
DABUR,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
DIVISLAB,pro,OPM > 25% in latest year,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
DIVISLAB,pro,ICR > 10 or Debt Free,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
DIVISLAB,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
DIVISLAB,pro,Revenue CAGR > PAT CAGR,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
DIVISLAB,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
DIVISLAB,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
DIVISLAB,con,Revenue declining for 2+ years,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,78
DIVISLAB,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
DLF,pro,OPM > 25% in latest year,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
DLF,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
DLF,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
DLF,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
DLF,con,Revenue declining for 2+ years,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,78
DLF,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
DLF,con,ROCE < 10%,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,70
DLF,con,Revenue CAGR < 5% over 5 years,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,66
DMART,pro,Revenue CAGR > 15% over 5 years,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84
DMART,pro,PAT CAGR > 20% over 5 years,Net profit compounding at above 20% over 5 years creates significant shareholder value,80
DMART,pro,ICR > 10 or Debt Free,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
DMART,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
DMART,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
DMART,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
EICHERMOT,pro,ROE > 20% sustained for 3+ years,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
EICHERMOT,pro,OPM > 25% in latest year,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
EICHERMOT,pro,ICR > 10 or Debt Free,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
EICHERMOT,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
EICHERMOT,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
EICHERMOT,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
EICHERMOT,con,Revenue declining for 2+ years,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,78
EICHERMOT,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
GAIL,pro,ICR > 10 or Debt Free,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
GAIL,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
GAIL,pro,Revenue CAGR > PAT CAGR,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
GAIL,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
GAIL,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
GAIL,con,Revenue declining for 2+ years,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,78
GAIL,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
GODREJCP,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
GODREJCP,pro,Revenue CAGR > PAT CAGR,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
GODREJCP,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
GODREJCP,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
GODREJCP,con,Net profit negative in latest year,Company reported a net loss in the most recent financial year,88
GODREJCP,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
GRASIM,pro,PAT CAGR > 20% over 5 years,Net profit compounding at above 20% over 5 years creates significant shareholder value,80
GRASIM,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
GRASIM,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
GRASIM,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
GRASIM,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
GRASIM,con,ROCE < 10%,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,70
HAL,pro,ROE > 20% sustained for 3+ years,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
HAL,pro,OPM > 25% in latest year,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
HAL,pro,PAT CAGR > 20% over 5 years,Net profit compounding at above 20% over 5 years creates significant shareholder value,80
HAL,pro,ICR > 10 or Debt Free,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
HAL,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
HAL,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
HAVELLS,pro,ICR > 10 or Debt Free,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
HAVELLS,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
HAVELLS,pro,Revenue CAGR > PAT CAGR,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
HAVELLS,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
HAVELLS,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
HAVELLS,con,Revenue declining for 2+ years,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,78
HAVELLS,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
HCLTECH,pro,ROE > 20% sustained for 3+ years,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
HCLTECH,pro,ICR > 10 or Debt Free,Very high interest coverage ratio reflects negligible financial stress from debt servicing,78
HCLTECH,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
HCLTECH,pro,Revenue CAGR > PAT CAGR,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
HCLTECH,pro,Assets growing with declining debt,Growing asset base funded by internal accruals reflects self-sustaining growth,68
HCLTECH,con,OPM declining for 3 consecutive years,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,80
HCLTECH,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
HDFCBANK,pro,Revenue CAGR > 15% over 5 years,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84
HDFCBANK,pro,PAT CAGR > 20% over 5 years,Net profit compounding at above 20% over 5 years creates significant shareholder value,80
HDFCBANK,pro,ROE improving for 3 consecutive years,Return on equity improving for 3 consecutive years shows strengthening business quality,72
HDFCBANK,con,ICR < 1.5,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,82
HDFCBANK,con,D/E rising for 3 consecutive years,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,74
HDFCBANK,con,ROCE < 10%,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,70
